,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien,flow
121,vpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5854830001899088,0.2335174247936222,0.9749807411439056,127.0.0.1:1151 -> 127.0.0.1:8088
122,75i1GHwBASTB4nx99wIT,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5743699625098332,0.9297287673978124,0.976168838061789,127.0.0.1:1151 -> 127.0.0.1:8088
124,85i1GHwBASTB4nx99wIT,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.595681299567236,0.9534634674162468,0.9895387174719252,127.0.0.1:1151 -> 127.0.0.1:8088
126,95i1GHwBASTB4nx99wIT,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6136596123472894,0.1126607304707266,0.9700865376818416,127.0.0.1:1151 -> 127.0.0.1:8088
128,-5i1GHwBASTB4nx99wIT,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5877690433112046,0.9352147318678932,0.9860827044202712,127.0.0.1:1151 -> 127.0.0.1:8088
131,Api1GHwBASTB4nx9-QMh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5992439702814304,0.4526770422083229,0.9812655104393369,127.0.0.1:1151 -> 127.0.0.1:8088
133,Bpi1GHwBASTB4nx9-QMh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5865031152129926,0.9265137332580704,0.9835959566624692,127.0.0.1:1151 -> 127.0.0.1:8088
135,Cpi1GHwBASTB4nx9-QMh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5808966224751367,0.2435803541027821,0.9785142010138204,127.0.0.1:1151 -> 127.0.0.1:8088
137,Dpi1GHwBASTB4nx9-QMh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5919608153800505,0.9490086814250764,0.9839978233320044,127.0.0.1:1151 -> 127.0.0.1:8088
139,Epi1GHwBASTB4nx9-QMh,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6205974362715859,0.95109405510899,0.988850901314266,127.0.0.1:1151 -> 127.0.0.1:8088
141,Fpi1GHwBASTB4nx9-QMi,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.61413804596504,0.4574774349399837,0.9779325529866072,127.0.0.1:1151 -> 127.0.0.1:8088
143,Gpi1GHwBASTB4nx9-QMi,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6003699301374282,0.4556890791468438,0.9824078039247904,127.0.0.1:1151 -> 127.0.0.1:8088
145,R5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5713565488307433,0.0601951419686262,0.9673053404868868,127.0.0.1:1151 -> 127.0.0.1:8088
146,Jpi1GHwBASTB4nx9-QMi,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5934136813295359,0.9508584940691452,0.9861616108145606,127.0.0.1:1151 -> 127.0.0.1:8088
147,S5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5852646329005694,0.9350341525724652,0.9869639960007132,127.0.0.1:1151 -> 127.0.0.1:8088
149,T5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6063764574459095,0.45900536932346,0.982798869807961,127.0.0.1:1151 -> 127.0.0.1:8088
151,U5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5972781174112131,0.9424439020285404,0.9873165085089634,127.0.0.1:1151 -> 127.0.0.1:8088
